price_in_rp,building_size_m2,land_size_m2,floors,bedrooms,bathrooms,building_age
2800000000.0,300.0,209.0,2.0,4.0,4.0,5.0
2800000000.0,300.0,209.0,2.0,6.0,5.0,5.0
6000000000.0,450.0,500.0,3.0,6.0,4.0,9.0
1700000000.0,150.0,102.0,2.0,3.0,2.0,5.0
2800000000.0,300.0,209.0,2.0,6.0,5.0,
1250000000.0,80.0,98.0,1.0,2.0,2.0,7.0
2850000000.0,180.0,181.0,2.0,3.0,3.0,1.0
4150000000.000001,650.0,487.0,2.0,11.0,4.0,21.0
1800000000.0,135.0,90.0,2.0,3.0,3.0,4.0
1000000000.0,70.0,90.0,2.0,2.0,2.0,
800000000.0,54.0,90.0,1.0,2.0,1.0,6.0
895000000.0,120.0,120.0,1.0,3.0,1.0,
450000000.0,60.0,60.0,1.0,1.0,1.0,
1500000000.0,88.0,120.0,1.0,3.0,2.0,2.0
590000000.0,54.0,90.0,1.0,2.0,1.0,
590000000.0,54.0,90.0,1.0,2.0,1.0,
1500000000.0,88.0,120.0,1.0,2.0,1.0,
1250000000.0,130.0,105.0,1.0,3.0,2.0,
1250000000.0,130.0,105.0,2.0,3.0,2.0,
970000000.0,63.0,56.0,2.0,3.0,2.0,0.0
779000000.0,63.0,53.0,2.0,3.0,2.0,0.0
550000000.0,54.0,90.0,1.0,2.0,1.0,4.0
550000000.0,54.0,90.0,1.0,2.0,1.0,
375000000.0,60.0,72.0,1.0,2.0,1.0,10.0
550000000.0,100.0,120.0,1.0,,,
550000000.0,35.0,75.0,1.0,2.0,1.0,
455000000.0,45.0,72.0,1.0,2.0,1.0,0.0
900000000.0,90.0,120.0,1.0,2.0,1.0,2.0
390000000.0,36.0,60.0,1.0,,,0.0
967000000.0,68.0,82.0,2.0,3.0,3.0,1.0
1500000000.0,150.0,240.0,1.0,5.0,2.0,
2300000000.0,180.0,200.0,2.0,5.0,4.0,8.0
390000000.0,30.0,60.0,1.0,2.0,1.0,0.0
409000000.0,40.0,60.0,1.0,2.0,1.0,0.0
168000000.0,30.0,60.0,1.0,2.0,1.0,0.0
300000000.0,36.0,60.0,1.0,2.0,1.0,0.0
1650000000.0,100.0,123.0,1.0,4.0,1.0,
450000000.0,100.0,120.0,1.0,3.0,2.0,8.0
900000000.0,100.0,150.0,1.0,3.0,2.0,
750000000.0,100.0,50.0,2.0,3.0,2.0,0.0
1050000000.0,90.0,72.0,2.0,3.0,2.0,0.0
2500000000.0,200.0,194.0,1.0,3.0,2.0,
300000000.0,45.0,52.0,1.0,2.0,1.0,0.0
795000000.0,150.0,90.0,2.0,4.0,2.0,5.0
1000000000.0,108.0,72.0,2.0,3.0,2.0,0.0
1900000000.0,66.0,136.0,1.0,3.0,2.0,12.0
1180000000.0,77.0,84.0,2.0,3.0,3.0,1.0
1430000000.0,95.0,105.0,2.0,4.0,3.0,
1180000000.0,77.0,84.0,2.0,3.0,2.0,0.0
400000000.0,38.0,60.0,1.0,2.0,1.0,0.0
1470000000.0,62.0,84.0,2.0,2.0,2.0,0.0
